;DecisionTree;AdaBoost;MLP;RandomForest;XGB;SVM;LightGBM;catBoost;Dummy Classifier
49;69.0;98.0;82.36033714623517;91.19905797101448;107.13934;79.20545608189421;92.22913181521047;96.842740591784;83.9014347826087
50;72.0;76.0;81.3942970394578;85.68;72.48829;75.14568485716244;77.26705233931506;83.85069426941973;83.9014347826087
51;60.0;72.0;71.81278730593876;72.1956231884058;70.991905;72.80244239404628;69.46998204838522;73.0252024009213;83.9014347826087
52;76.0;82.0;84.89454267130483;87.25;92.83379;78.38020426605449;90.05679361775935;92.14689228113875;83.9014347826087
53;82.0;76.0;79.41133814335275;76.95;73.0249;78.46713503009795;76.14412285610933;82.40260728173679;83.9014347826087
54;68.0;75.0;73.06015806921437;76.19781159420289;76.65465;76.11993800906843;74.18452573105886;74.7880926838267;83.9014347826087
55;81.0;81.0;86.99291581746638;84.05;77.401474;84.80665610120273;85.07831227389012;84.26169054810384;83.9014347826087
56;82.0;87.0;97.57426904791352;92.15;84.03607;87.20505711195189;93.89325299907524;100.68938244063487;83.9014347826087
57;113.0;104.0;124.11602210163997;111.34;108.53178;102.69628958955619;108.26408167574952;114.01541529193938;83.9014347826087
58;82.0;82.0;91.39900309167196;91.1;79.68681;88.9702401070924;92.81116996240674;94.96680147762588;83.9014347826087
59;92.0;89.0;100.38224563578396;96.07562318840581;76.50326;88.57372681125291;92.65204922655239;97.78099076321544;83.9014347826087
60;68.0;69.0;78.35220267908116;74.23;71.28639;78.50913687320175;74.37700841011655;77.14155327379396;83.9014347826087
61;89.0;92.0;93.75618591013207;96.0;89.26347;89.74081770783194;89.29765820600743;95.91487970319831;83.9014347826087
62;107.0;106.0;102.60641628126331;104.75;94.74784;95.48624130392679;91.7813783571911;103.41988016379216;83.9014347826087
63;82.0;89.0;99.15968504865853;96.49;92.13822;86.76006567682055;94.97666468615454;95.30103839560682;83.9014347826087
64;128.0;103.0;100.22692297110049;106.41;103.58314;87.00360682029236;116.07026482779365;99.00962560406282;83.9014347826087
65;128.0;86.0;92.42631930717363;92.51;87.74257;76.6441698518591;87.57126847953387;85.5339179362577;83.9014347826087
66;89.0;71.0;77.40391452899689;74.97;73.56841;74.24012789063482;79.13452672990206;74.22377969040934;83.9014347826087
67;72.0;103.0;85.51036042065337;99.66905797101448;106.51689;79.41534816754191;97.49370356803416;98.71929486852316;83.9014347826087
68;76.0;76.0;77.13279995750511;77.76;72.73353;79.80667885407598;76.77939992162162;75.79028700807122;83.9014347826087
69;72.0;98.0;85.7557838777127;103.64905797101449;97.23415;79.6153300012055;96.29802028120974;100.39872214919845;83.9014347826087
70;81.0;77.0;81.01049473263322;85.42;83.70812;77.68780856290674;81.58998354069523;80.44022946803486;83.9014347826087
71;69.0;103.0;83.86490151745963;96.8056231884058;108.61322;79.1961254519598;98.9435052182227;95.80013938292066;83.9014347826087
72;72.0;78.0;87.68857962412534;86.16;83.37924;77.4963792161675;80.49219355638215;79.12730563647979;83.9014347826087
73;87.0;80.0;74.30415709471079;82.31;91.42693;73.69884611208406;87.6137081998805;77.5005262047197;83.9014347826087
74;128.0;89.0;85.29541698544833;96.3;88.62937;76.18539229328;89.55927228061701;89.46483673540688;83.9014347826087
75;70.0;71.0;68.96482366834802;71.2078115942029;73.32608;72.40722137483122;74.90559970602939;73.47432124184198;83.9014347826087
76;60.0;70.0;63.00058840711095;73.52;80.18087;71.3136316456752;70.22313933809846;74.06551363405504;83.9014347826087
77;71.0;71.0;65.49295331737275;74.26;67.94767;72.08778342491684;68.59847943379658;72.0170842207284;83.9014347826087
78;115.0;115.0;83.47300708475711;108.47;113.29198;78.71562891937337;119.04049271391251;113.0852631525997;83.9014347826087
79;72.0;89.0;89.06813989608841;91.81;77.48687;78.61988709260602;87.61123108259932;95.57534085657399;83.9014347826087
80;81.0;81.0;78.93724734198965;85.41468115942027;100.538864;81.06197533067865;80.30365559347315;88.56343028290763;83.9014347826087
81;104.0;104.0;65.25447749224777;82.5478115942029;84.68892;73.81074632067984;82.63270041425196;75.22002501678911;83.9014347826087
82;59.0;69.0;64.89832631623486;72.49;67.17543;70.41050944054423;67.18285634952194;70.95116623385634;83.9014347826087
83;66.0;66.0;66.61541043563165;67.12;63.21786;71.13660389606379;58.70091335125408;62.87693442011352;83.9014347826087
84;71.0;66.0;66.57160673210895;67.48;67.508575;71.10150967119685;62.30846314033256;69.13724020904665;83.9014347826087
85;72.0;77.0;84.99684103022926;80.46;80.293434;76.30387645975223;85.34995664588804;84.1255857089433;83.9014347826087
86;97.0;103.0;106.9986244989004;109.64;115.946785;90.80941542144679;102.06134938497189;108.80142975667127;83.9014347826087
87;69.0;70.0;63.866889786707695;70.25;67.033875;71.00263569217168;68.29012056573089;70.02395952689885;83.9014347826087
88;86.0;79.0;79.1681049700063;93.74;87.96229;76.31373397961354;95.420714627341;96.16346926404577;83.9014347826087
89;77.0;71.0;71.04513379997519;69.81;62.316196;70.84691497896708;72.86182188287128;76.05665369294087;83.9014347826087
90;66.0;66.0;52.8659570525387;67.77;60.767387;69.26940790951163;69.45612596904877;65.97683030383381;83.9014347826087
91;97.0;77.0;57.93496821120422;76.81;58.46083;70.03193485096752;65.61545379687391;63.659824585992745;83.9014347826087
92;67.78115942028985;76.0;62.06454415083017;75.0;62.582325;70.4773996582727;68.79680199750025;74.1985118705812;83.9014347826087
93;60.0;66.0;59.198699439889126;66.26;63.87679;70.33953652537495;67.194565839535;60.24695689239904;83.9014347826087
94;65.0;66.0;55.824732452688075;70.25;60.583004;69.75777392212808;68.33115521931339;66.36100675715828;83.9014347826087
95;60.0;61.0;58.062216586034;65.13;54.80195;69.98302780005865;59.782331245572614;70.1063102322871;83.9014347826087
